Startup_Name,Industry,Target_Market,Product_Focus,Outcome,Launch_Year,Core_Problem,Solution,Feasibility_Score,Innovation_Score,Risk_Score
GOAT Brand Labs,E-commerce,B2B,Brand Aggregation,Active/Growing,2021,Fragmented supply chains cause 40% margin loss in brand aggregation.,An integrated marketplace that ships brand aggregation directly from manufacturers.,0.73,0.69,0.43
Curefoods,Foodtech,B2B,Cloud Kitchen Rollup,Success,2020,Hyperlocal delivery for cloud kitchen rollup takes too long and uses poor packaging.,Algorithm-based meal preparation focused on {product_focus.lower()}.,0.79,0.85,0.34
Otipy,Agritech,B2C,Fresh Produce Biz,Active/Growing,2020,Current fresh produce biz systems are archaic and require 6-month integrations.,No-code drag-and-drop tool for fresh produce biz.,0.68,0.63,0.51
Krishi Network,Agritech,B2B,Farmer Community,Active/Growing,2018,Disjointed data silos in farmer community reduce operational efficiency.,An AI-powered dashboard that unifies farmer community data.,0.74,0.55,0.41
ReshaMandi,Agritech,B2B,Silk Supply Chain,Struggling,2020,Current silk supply chain systems are archaic and require 6-month integrations.,An AI-powered dashboard that unifies silk supply chain data.,0.37,0.19,0.91
Bijak,Agritech,B2B,Agri Trading,Active/Growing,2019,Disjointed data silos in agri trading reduce operational efficiency.,An AI-powered dashboard that unifies agri trading data.,0.7,0.68,0.58
Captain Fresh,Agritech,B2B,Seafood Supply Chain,Success,2019,Disjointed data silos in seafood supply chain reduce operational efficiency.,No-code drag-and-drop tool for seafood supply chain.,0.77,0.71,0.33
Aqua Connect,Agritech,B2B,Aquaculture,Active/Growing,2017,Disjointed data silos in aquaculture reduce operational efficiency.,An AI-powered dashboard that unifies aquaculture data.,0.64,0.63,0.36
Zeni,SaaS,B2B,Automated Bookkeeping,Active/Growing,2019,Enterprise teams spend 30% of their time manually managing automated bookkeeping.,"A highly intuitive, cloud-native automated bookkeeping platform.",0.71,0.77,0.4
Laminar,SaaS,B2B,Video PaaS,Acquired,2020,Current video paas systems are archaic and require 6-month integrations.,"A highly intuitive, cloud-native video paas platform.",0.77,0.68,0.65
Appsmith,SaaS,B2B,Internal Tools,Success,2019,Current internal tools systems are archaic and require 6-month integrations.,"A highly intuitive, cloud-native internal tools platform.",0.74,0.65,0.41
ToolJet,SaaS,B2B,Low Code Platform,Active/Growing,2021,Enterprise teams spend 30% of their time manually managing low code platform.,An AI-powered dashboard that unifies low code platform data.,0.8,0.7,0.5
Supabase,SaaS,B2B,Backend as a Service,Success,2020,Enterprise teams spend 30% of their time manually managing backend as a service.,"A highly intuitive, cloud-native backend as a service platform.",0.71,0.82,0.2
Atlan,SaaS,B2B,Data Workspace,Success,2018,Disjointed data silos in data workspace reduce operational efficiency.,"A highly intuitive, cloud-native data workspace platform.",0.79,0.88,0.43
Hevo Data,SaaS,B2B,Data Pipeline,Success,2017,Disjointed data silos in data pipeline reduce operational efficiency.,"A highly intuitive, cloud-native data pipeline platform.",0.76,0.88,0.41
Kite,Fintech,B2C,Trading Platform,Success,2015,Lack of access to trading platform for the average Indian consumer.,A consumer-first mobile app democratizing trading platform.,0.85,0.74,0.24
Kuvera,Fintech,B2C,Wealth Management,Active/Growing,2016,Lack of access to wealth management for the average Indian consumer.,A consumer-first mobile app democratizing wealth management.,0.6,0.72,0.3
CRED,Fintech,B2C,Credit Card Bills,Success,2018,SMEs struggle with localized credit card bills processing without extreme delays.,A one-click credit card bills API infrastructure.,0.87,0.85,0.42
CheQ,Fintech,B2C,Credit Bill Management,Active/Growing,2022,SMEs struggle with localized credit bill management processing without extreme delays.,A consumer-first mobile app democratizing credit bill management.,0.75,0.64,0.38
PostPe,Fintech,B2C,BNPL,Active/Growing,2021,Lack of access to bnpl for the average Indian consumer.,A one-click bnpl API infrastructure.,0.74,0.77,0.52
KukuFM,Media,B2C,Audiobooks,Success,2018,Disjointed data silos in audiobooks reduce operational efficiency.,No-code drag-and-drop tool for audiobooks.,0.79,0.74,0.29
FrontRow,Edtech,B2C,Extracurriculars,Dead,2020,Outdated curriculums fail to teach extracurriculars effectively.,Cohort-based courses focusing purely on extracurriculars.,0.25,0.24,0.84
Lido Learning,Edtech,B2C,Small Group Tuiton,Failed,2019,Lack of personalized feedback in mass small group tuiton coaching.,Cohort-based courses focusing purely on small group tuiton.,0.38,0.24,0.72
Udayy,Edtech,B2C,Kids Education,Failed,2019,Lack of personalized feedback in mass kids education coaching.,Cohort-based courses focusing purely on kids education.,0.45,0.5,0.84
Mastree,Edtech,B2C,Communications Tuiton,Failed,2019,Outdated curriculums fail to teach communications tuiton effectively.,"Live, interactive communications tuiton taught by top 1% educators.",0.29,0.12,0.84
Scaler,Edtech,B2C,Tech Skilling,Success,2019,Lack of personalized feedback in mass tech skilling coaching.,Cohort-based courses focusing purely on tech skilling.,0.81,0.88,0.27
Newton School,Edtech,B2C,Tech Education,Active/Growing,2019,High-quality tech education is too expensive for the 99% in Tier 3 cities.,Cohort-based courses focusing purely on tech education.,0.8,0.76,0.41
Masai School,Edtech,B2C,ISA based Tech Ed,Active/Growing,2019,Lack of personalized feedback in mass isa based tech ed coaching.,Gamified mobile app teaching isa based tech ed through micro-lessons.,0.71,0.59,0.58
Melooha,AI,B2C,Hyper-personalized Astrology,Active/Growing,2022,Disjointed data silos in hyper-personalized astrology reduce operational efficiency.,An AI-powered dashboard that unifies hyper-personalized astrology data.,0.68,0.77,0.33
Suno,AI,B2C,Music Gen (Indian Founders),Success,2023,Current music gen (indian founders) systems are archaic and require 6-month integrations.,No-code drag-and-drop tool for music gen (indian founders).,0.89,0.82,0.36
Bhashini,AI,B2C,Language Translation AI,Active/Growing,2022,Current language translation ai systems are archaic and require 6-month integrations.,An AI-powered dashboard that unifies language translation ai data.,0.85,0.58,0.33
Krutrim,AI,B2B,Indic AI Models,Success,2023,Current indic ai models systems are archaic and require 6-month integrations.,An AI-powered dashboard that unifies indic ai models data.,0.78,0.86,0.3
Sarvam AI,AI,B2B,LLM Development,Success,2023,Disjointed data silos in llm development reduce operational efficiency.,"A highly intuitive, cloud-native llm development platform.",0.87,0.65,0.28
Detect Technologies,Deeptech,B2B,Industrial AI,Active/Growing,2016,Enterprise teams spend 30% of their time manually managing industrial ai.,No-code drag-and-drop tool for industrial ai.,0.64,0.96,0.54
Agnikul Cosmos,SpaceTech,B2B,Launch Vehicles,Success,2017,Disjointed data silos in launch vehicles reduce operational efficiency.,"A highly intuitive, cloud-native launch vehicles platform.",0.59,0.99,0.43000000000000005
Skyroot Aerospace,SpaceTech,B2B,Space Launch,Success,2018,Current space launch systems are archaic and require 6-month integrations.,No-code drag-and-drop tool for space launch.,0.7899999999999999,1.0,0.5599999999999999
Pixxel,SpaceTech,B2B,Earth Observation Satellites,Success,2019,Enterprise teams spend 30% of their time manually managing earth observation satellites.,An AI-powered dashboard that unifies earth observation satellites data.,0.71,1.0,0.55
Bellatrix Aerospace,SpaceTech,B2B,Satellite Propulsion,Active/Growing,2015,Enterprise teams spend 30% of their time manually managing satellite propulsion.,No-code drag-and-drop tool for satellite propulsion.,0.66,0.8899999999999999,0.67
Ezeepay,Fintech,B2C,Rural Payments,Active/Growing,2018,High friction and trust issues in traditional rural payments.,A one-click rural payments API infrastructure.,0.72,0.67,0.47
Ftcash,Fintech,B2B,Merchant Lending,Active/Growing,2015,High friction and trust issues in traditional merchant lending.,A consumer-first mobile app democratizing merchant lending.,0.83,0.6,0.54
Kiraana,E-commerce,B2B,Store Digitization,Failed,2016,Traditional retailers cannot compete with massive aggregators in store digitization.,Social commerce platform using WhatsApp for store digitization.,0.41,0.4,0.72
ZipGo,Mobility,B2C,Bus Aggregation,Failed,2015,Current bus aggregation systems are archaic and require 6-month integrations.,No-code drag-and-drop tool for bus aggregation.,0.37,0.54,0.87
Holidify,Travel,B2C,Travel Discovery,Active/Growing,2014,Disjointed data silos in travel discovery reduce operational efficiency.,No-code drag-and-drop tool for travel discovery.,0.77,0.69,0.58
Tripoto,Travel,B2C,Travel Community,Active/Growing,2013,Enterprise teams spend 30% of their time manually managing travel community.,An AI-powered dashboard that unifies travel community data.,0.68,0.58,0.33
Wiggles,PetTech,B2C,Pet Care,Active/Growing,2018,Enterprise teams spend 30% of their time manually managing pet care.,An AI-powered dashboard that unifies pet care data.,0.64,0.64,0.35
SuperTails,PetTech,B2C,Pet E-commerce,Active/Growing,2021,Enterprise teams spend 30% of their time manually managing pet e-commerce.,"A highly intuitive, cloud-native pet e-commerce platform.",0.81,0.67,0.5
Govo,D2C,B2C,Audio Hardware,Active/Growing,2022,Disjointed data silos in audio hardware reduce operational efficiency.,No-code drag-and-drop tool for audio hardware.,0.84,0.76,0.34
Noise,D2C,B2C,Smart Wearables,Success,2014,Enterprise teams spend 30% of their time manually managing smart wearables.,No-code drag-and-drop tool for smart wearables.,0.86,0.83,0.37
Boat,D2C,B2C,Consumer Electronics,Success,2016,Disjointed data silos in consumer electronics reduce operational efficiency.,"A highly intuitive, cloud-native consumer electronics platform.",0.95,0.7,0.24
Mivi,D2C,B2C,Audio Devices,Active/Growing,2015,Current audio devices systems are archaic and require 6-month integrations.,No-code drag-and-drop tool for audio devices.,0.65,0.77,0.33
Pebble,D2C,B2C,Smartwatches,Active/Growing,2013,Disjointed data silos in smartwatches reduce operational efficiency.,"A highly intuitive, cloud-native smartwatches platform.",0.64,0.72,0.57
Fire-Boltt,D2C,B2C,Wearables,Success,2015,Disjointed data silos in wearables reduce operational efficiency.,No-code drag-and-drop tool for wearables.,0.84,0.84,0.2
Pulsar,Tech,B2B,Open Source Data,Active/Growing,2019,Current open source data systems are archaic and require 6-month integrations.,"A highly intuitive, cloud-native open source data platform.",0.69,0.54,0.51
Log9 Materials,Deeptech,B2B,Nanocapacitor Batteries,Success,2015,Enterprise teams spend 30% of their time manually managing nanocapacitor batteries.,An AI-powered dashboard that unifies nanocapacitor batteries data.,0.65,0.8600000000000001,0.5599999999999999
Matter,Mobility/EV,B2C,Geared EVs,Active/Growing,2019,Disjointed data silos in geared evs reduce operational efficiency.,No-code drag-and-drop tool for geared evs.,0.6,0.74,0.7000000000000001
Ultraviolette,Mobility/EV,B2C,High Performance EVs,Active/Growing,2015,Enterprise teams spend 30% of their time manually managing high performance evs.,"A highly intuitive, cloud-native high performance evs platform.",0.58,0.79,0.59
Euler Motors,Mobility/EV,B2B,Commercial EVs,Success,2018,Enterprise teams spend 30% of their time manually managing commercial evs.,"A highly intuitive, cloud-native commercial evs platform.",0.7899999999999999,0.96,0.5
Oye Rickshaw,Mobility/EV,B2B,EV Aggregator,Struggling,2017,Enterprise teams spend 30% of their time manually managing ev aggregator.,An AI-powered dashboard that unifies ev aggregator data.,0.12000000000000002,0.69,1.0
Moove,Mobility,B2B,Vehicle Financing,Active/Growing,2020,Enterprise teams spend 30% of their time manually managing vehicle financing.,"A highly intuitive, cloud-native vehicle financing platform.",0.71,0.67,0.46
Giva,D2C,B2C,Silver Jewelry,Success,2019,Current silver jewelry systems are archaic and require 6-month integrations.,"A highly intuitive, cloud-native silver jewelry platform.",0.76,0.87,0.45
Snitch,D2C,B2C,Men's Fashion,Success,2020,Enterprise teams spend 30% of their time manually managing men's fashion.,No-code drag-and-drop tool for men's fashion.,0.7,0.8,0.37
Beyond Water,D2C,B2C,Beverage Enhancers,Active/Growing,2020,Disjointed data silos in beverage enhancers reduce operational efficiency.,"A highly intuitive, cloud-native beverage enhancers platform.",0.64,0.59,0.57
Skippi,D2C,B2C,Ice Popsicles,Active/Growing,2020,Disjointed data silos in ice popsicles reduce operational efficiency.,"A highly intuitive, cloud-native ice popsicles platform.",0.71,0.57,0.55
TagZ,D2C,B2C,Popped Chips,Active/Growing,2019,Enterprise teams spend 30% of their time manually managing popped chips.,No-code drag-and-drop tool for popped chips.,0.65,0.61,0.41
